PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI_Bucket
50.64,130.36,6.48,45.52,29.49,19.89,0.07,10.61,40.57,Moderate
44.21,119.52,3.63,34.37,21.23,23.31,0.07,5.86,31.73,Moderate
50.71,115.65,7.91,35.16,25.13,11.19,0.06,8.16,32.58,Moderate
42.27,100.54,4.95,30.69,20.33,13.4,0.66,8.99,32.18,Moderate
39.41,101.1,3.21,28.53,17.83,17.9,0.81,5.86,28.72,Moderate
50.56,116.89,6.93,37.27,25.44,11.05,0.97,5.25,23.36,Satisfactory
50.54,120.05,2.91,26.96,16.74,13.02,0.9,17.9,36.66,Moderate
26.22,62.82,2.24,20.1,12.54,12.32,0.61,8.25,23.74,Satisfactory
31.83,66.74,2.76,16.83,11.14,11.9,0.61,5.87,24.72,Satisfactory
70.26,112.29,0.4,11.87,6.57,13.05,0.62,7.29,31.4,Moderate
59.47,99.73,0.54,12.85,7.18,11.94,0.68,7.62,30.57,Moderate
58.71,99.04,0.41,13.88,7.62,11.99,0.86,6.89,36.2,Moderate
56.29,107.96,0.25,16.71,9.02,10.89,0.95,12.91,48.39,Moderate
50.41,118.62,1.68,25.6,15.01,20.24,0.69,11.81,33.46,Moderate
57.53,128.81,1.94,25.03,14.88,33.72,0.78,25.39,31.15,Moderate
43.82,97.19,1.45,16.01,9.45,22.52,0.67,17.62,27.62,Moderate
42.71,80.24,15.9,17.35,22.25,24.68,0.49,9.53,30.68,Satisfactory
54.73,94.12,3.49,12.79,9.73,22.79,0.58,8.21,30.21,Satisfactory
50.91,99.84,4.55,16.33,12.39,23.18,0.64,10.34,26.24,Satisfactory
38.5,106.7,4.5,16.82,12.69,19.54,0.58,11.02,26.62,Satisfactory
32.21,107.43,7.39,17.33,15.32,18.13,0.6,11.81,24.84,Moderate
35.36,107.25,6.13,17.75,14.52,16.57,0.85,10.87,23.99,Moderate
59.65,127.26,8.21,19.14,16.94,20.46,0.7,10.82,21.64,Moderate
